id,idade,estado,cidade,bairro,sexo,estilo_musical,bebida_alcoolica,tem_filhos,ja_foi_casado,atividade_fisica,idade_minima_parceiro,idade_maxima_parceiro,parceiro_pode_ter_filhos,parceiro_pode_beber,parceiro_pode_ser_casado,frase_identificacao,data_cadastro
36,29,SC,Balneário Camboriú,Centro,Feminino,Sertanejo,Bebo Socialmente,Não,Não,Diariamente,29,40,Sim,Tanto Faz,Tanto Faz,Vida glamourosa,2025-03-31 23:22:05
37,33,RS,Porto Alegre,Partenon ,Feminino,Pagode,Bebo Socialmente,Não,Não,3x por semana,25,41,Não,Não,Não,Equilíbrio material/espiritual,2025-03-31 23:23:53
38,31,BA,Salvador,Engenho Velho de Brotas ,Feminino,MPB,Bebo Socialmente,Não,Não,3x por semana,25,41,Sim,Tanto Faz,Tanto Faz,Vida simples com família,2025-03-31 23:30:27
39,49,DF,Brasília,Águas Claras ,Feminino,Rock,Bebo Socialmente,Sim,Sim,Diariamente,35,50,Não,Não,Não,Equilíbrio material/espiritual,2025-03-31 23:31:41
40,30,RJ,Rio de Janeiro,Meier,Feminino,Samba,Não Bebo,Não,Não,Diariamente,31,40,Sim,Não,Não,Experiências e viagens,2025-03-31 23:36:27
41,40,ES,Serra,Jardim Limoeiro ,Feminino,Samba,Bebo Socialmente,Sim,Sim,3x por semana,35,45,Não,Não,Não,Vida simples com família,2025-03-31 23:39:39
42,34,SP,São Paulo,Bela vista ,Feminino,Rock,Não Bebo,Não,Não,1x por semana,30,40,Não,Tanto Faz,Não,Equilíbrio material/espiritual,2025-03-31 23:40:02
43,49,PR,Curitiba,Uberaba,Feminino,Sertanejo,Não Bebo,Sim,Sim,Diariamente,42,50,Não,Não,Não,Experiências e viagens,2025-03-31 23:41:30
44,39,BA,Salvador,Pituba ,Feminino,Pop,Bebo Socialmente,Não,Sim,3x por semana,35,44,Tanto Faz,Tanto Faz,Tanto Faz,Vida simples com família,2025-03-31 23:43:18
45,19,GO,Trindade,Luzia Monteiro ,Feminino,Sertanejo,Bebo Socialmente,Não,Não,3x por semana,20,25,Não,Não,Sim,Experiências e viagens,2025-03-31 23:44:21
46,40,SP,Praia Grande,Aviação ,Feminino,Rock,Não Bebo,Sim,Sim,3x por semana,32,43,Tanto Faz,Tanto Faz,Tanto Faz,Riqueza espiritual,2025-03-31 23:44:46
47,42,SP,Jacareí,São joao,Feminino,Sertanejo,Não Bebo,Sim,Sim,3x por semana,43,52,Não,Sim,Não,Equilíbrio material/espiritual,2025-03-31 23:45:00
48,40,BA,Salvador,Nem longe nem perto ,Masculino,MPB,Bebo Socialmente,Sim,Sim,Diariamente,27,35,Sim,Não,Tanto Faz,Vida simples com família,2025-03-31 23:45:16
49,51,RJ,Rio de Janeiro,Barra Olímpica ,Feminino,MPB,Bebo Socialmente,Sim,Sim,3x por semana,38,57,Tanto Faz,Tanto Faz,Tanto Faz,Vida simples com família,2025-03-31 23:45:33
50,28,BA,Camaçari,Abrantes ,Feminino,Sertanejo,Bebo Sempre,Não,Não,1x por semana,25,45,Sim,Não,Não,Experiências e viagens,2025-03-31 23:46:39
51,33,SP,São Bernardo do Campo,Centro,Feminino,Pop,Nos Finais de Semana,Não,Não,3x por semana,30,38,Tanto Faz,Tanto Faz,Tanto Faz,Experiências e viagens,2025-03-31 23:47:05
52,27,BA,Salvador,Cajazeiras,Feminino,MPB,Bebo Socialmente,Não,Não,1x por semana,25,42,Tanto Faz,Não,Não,Riqueza espiritual,2025-03-31 23:47:12
53,45,SP,Araraquara,Cond. Buona Vita,Feminino,Rock,Bebo Socialmente,Sim,Sim,3x por semana,45,50,Não,Não,Não,Riqueza espiritual,2025-03-31 23:47:56
54,54,SC,Jaraguá do Sul,Czerniewicz ,Feminino,Sertanejo,Bebo Socialmente,Sim,Sim,Não gosto,28,55,Não,Sim,Não,Riqueza espiritual,2025-03-31 23:49:54
55,45,SP,São Paulo,V. Mariana,Feminino,Rock,Bebo Socialmente,Sim,Sim,3x por semana,45,50,Não,Não,Não,Riqueza espiritual,2025-03-31 23:50:28
56,52,SP,Cotia,Jd. Nova 6,Feminino,MPB,Nos Finais de Semana,Sim,Sim,1x por semana,48,54,Não,Não,Não,Riqueza espiritual,2025-03-31 23:50:39
57,25,GO,Goiânia,Jardim mariliza ,Feminino,Rock,Não Bebo,Sim,Sim,Diariamente,27,35,Tanto Faz,Tanto Faz,Não,Vida simples com família,2025-03-31 23:51:19
58,37,RJ,Rio de Janeiro,Flamengo ,Feminino,MPB,Bebo Socialmente,Não,Sim,3x por semana,27,45,Não,Não,Não,Experiências e viagens,2025-03-31 23:54:57
59,42,PR,Curitiba,Cajuru ,Feminino,Rock,Bebo Socialmente,Não,Sim,3x por semana,30,45,Tanto Faz,Tanto Faz,Tanto Faz,Riqueza espiritual,2025-03-31 23:55:19
60,31,DF,Brasília,Ceilândia ,Feminino,Rock,Não Bebo,Não,Não,3x por semana,30,40,Tanto Faz,Tanto Faz,Tanto Faz,Vida simples com família,2025-03-31 23:57:43
61,37,SP,Indaiatuba,Jd Nova Veneza ,Feminino,MPB,Não Bebo,Sim,Sim,Não gosto,32,46,Não,Tanto Faz,Não,Vida simples com família,2025-03-31 23:57:53
62,36,ES,Serra,Jardim limoeiro ,Feminino,Samba,Não Bebo,Sim,Sim,3x por semana,30,50,Não,Não,Não,Riqueza espiritual,2025-03-31 23:57:53
63,39,SE,Aracaju,Inácio Barbosa ,Feminino,MPB,Bebo Socialmente,Não,Não,3x por semana,37,43,Tanto Faz,Tanto Faz,Tanto Faz,Experiências e viagens,2025-03-31 23:58:03
64,31,MG,Betim,….,Feminino,MPB,Bebo Socialmente,Não,Não,3x por semana,30,44,Sim,Tanto Faz,Não,Vida simples com família,2025-04-01 00:04:04
65,41,SP,Barueri,Jardim Silveira ,Feminino,Pagode,Bebo Socialmente,Sim,Não,3x por semana,39,50,Não,Não,Não,Vida simples com família,2025-04-01 00:04:12
66,48,SP,Campinas,Remanso campineiro,Feminino,Sertanejo,Nos Finais de Semana,Não,Sim,3x por semana,40,55,Tanto Faz,Não,Não,Riqueza espiritual,2025-04-01 00:06:05
67,27,PR,Curitiba,Campo comprido ,Feminino,Pop,Bebo Socialmente,Não,Não,3x por semana,24,37,Tanto Faz,Sim,Não,Experiências e viagens,2025-04-01 00:06:06
68,39,SC,Blumenau,Timbó SC,Feminino,Rock,Bebo Socialmente,Sim,Sim,Diariamente,30,50,Não,Não,Não,Riqueza espiritual,2025-04-01 00:06:19
69,27,BA,Salvador,Campinas de Pirajá,Masculino,MPB,Bebo Socialmente,Não,Não,1x por semana,25,32,Tanto Faz,Tanto Faz,Não,Vida simples com família,2025-04-01 00:07:38
70,39,DF,Brasília,Jardim Botânico ,Feminino,Samba,Nos Finais de Semana,Não,Não,3x por semana,35,45,Não,Não,Não,Vida simples com família,2025-04-01 00:09:59
71,38,SP,São Paulo,Pedreira ,Feminino,Pop,Bebo Socialmente,Não,Não,Diariamente,18,18,Não,Não,Não,Experiências e viagens,2025-04-01 00:10:21
72,46,MG,Uberlândia,Santa Monica ,Feminino,Pop,Não Bebo,Sim,Sim,Diariamente,40,56,Não,Não,Não,Riqueza espiritual,2025-04-01 00:10:51
73,24,GO,Padre Bernardo,T,Feminino,Sertanejo,Nos Finais de Semana,Sim,Sim,Diariamente,25,50,Tanto Faz,Tanto Faz,Tanto Faz,Vida glamourosa,2025-04-01 00:16:49
74,44,CE,Sobral,Terrenos novos,Feminino,Sertanejo,Não Bebo,Sim,Sim,Diariamente,30,45,Não,Sim,Não,Vida simples com família,2025-04-01 00:17:44
75,23,SP,São Paulo,Parelheiros,Masculino,Rock,Não Bebo,Não,Não,Diariamente,18,25,Sim,Sim,Sim,Vida simples com família,2025-04-01 00:18:45
76,33,GO,Formosa,Centro,Feminino,Sertanejo,Nos Finais de Semana,Sim,Não,3x por semana,25,45,Tanto Faz,Tanto Faz,Tanto Faz,Vida simples com família,2025-04-01 00:18:55
77,20,SP,Campinas,Barão Geraldo,Masculino,Rock,Bebo Socialmente,Não,Não,3x por semana,18,24,Sim,Não,Sim,Riqueza espiritual,2025-04-01 00:20:08
78,37,BA,Lauro de Freitas,Abrantes ,Feminino,Samba,Não Bebo,Não,Não,1x por semana,38,45,Sim,Tanto Faz,Tanto Faz,Experiências e viagens,2025-04-01 00:20:30
79,61,RJ,Rio de Janeiro,Campo Grande ,Feminino,MPB,Bebo Socialmente,Sim,Sim,1x por semana,50,60,Não,Não,Não,Equilíbrio material/espiritual,2025-04-01 00:20:31
80,36,PI,Teresina,Jockey ,Feminino,MPB,Bebo Socialmente,Não,Não,3x por semana,28,52,Tanto Faz,Tanto Faz,Sim,Vida simples com família,2025-04-01 00:22:25
81,35,DF,Brasília,Samambaia ,Feminino,Rock,Bebo Socialmente,Não,Não,3x por semana,30,40,Tanto Faz,Tanto Faz,Tanto Faz,Vida simples com família,2025-04-01 00:23:39
82,37,SC,Balneário Camboriú,Centro,Feminino,Sertanejo,Não Bebo,Não,Sim,Diariamente,36,45,Não,Sim,Não,Vida simples com família,2025-04-01 00:26:28
83,34,SP,Osasco,Vila Yara,Feminino,Pop,Não Bebo,Não,Não,3x por semana,27,43,Sim,Sim,Tanto Faz,Equilíbrio material/espiritual,2025-04-01 00:26:47
84,51,SC,Biguaçu,Praia ,Feminino,Rock,Bebo Socialmente,Sim,Sim,Diariamente,39,58,Não,Não,Não,Equilíbrio material/espiritual,2025-04-01 00:26:58
85,37,SC,Biguaçu,Bom viver ,Feminino,Pagode,Bebo Socialmente,Sim,Sim,Não gosto,30,45,Não,Não,Não,Vida simples com família,2025-04-01 00:29:52
86,37,PR,Curitiba,Hauer ,Feminino,Rock,Não Bebo,Sim,Sim,Diariamente,35,48,Sim,Não,Não,Equilíbrio material/espiritual,2025-04-01 00:30:23
87,29,MT,Cuiabá,Bosque da saúde ,Feminino,Sertanejo,Bebo Socialmente,Não,Não,Diariamente,24,45,Não,Não,Não,Vida simples com família,2025-04-01 00:31:32
88,40,RS,Porto Alegre,Petrópolis ,Feminino,MPB,Bebo Socialmente,Não,Sim,3x por semana,38,47,Tanto Faz,Tanto Faz,Tanto Faz,Experiências e viagens,2025-04-01 00:35:59
89,25,RJ,Nilópolis,Centro,Feminino,Pop,Não Bebo,Não,Não,3x por semana,20,27,Sim,Tanto Faz,Sim,Vida simples com família,2025-04-01 00:39:03
90,32,PR,Maringá,Zona 4,Masculino,Rock,Não Bebo,Não,Não,Diariamente,24,36,Sim,Sim,Não,Equilíbrio material/espiritual,2025-04-01 00:39:35
91,43,PR,Curitiba,Santa quiteria ,Feminino,Rock,Bebo Socialmente,Não,Sim,1x por semana,40,50,Não,Não,Não,Riqueza espiritual,2025-04-01 00:40:06
92,25,RJ,Rio de Janeiro,Nilópolis,Feminino,Pop,Não Bebo,Não,Não,3x por semana,20,27,Sim,Tanto Faz,Sim,Vida simples com família,2025-04-01 00:41:33
93,34,GO,Goiânia,Bueno,Feminino,Sertanejo,Não Bebo,Não,Sim,3x por semana,28,40,Sim,Tanto Faz,Não,Vida simples com família,2025-04-01 00:41:47
94,48,DF,Brasília,Guará ,Feminino,MPB,Bebo Socialmente,Sim,Sim,3x por semana,33,58,Não,Não,Não,Experiências e viagens,2025-04-01 00:41:59
95,27,RJ,Rio de Janeiro,Vila Valqueire ,Masculino,MPB,Bebo Socialmente,Não,Não,1x por semana,18,48,Não,Não,Não,Vida simples com família,2025-04-01 00:42:27
96,39,PR,Araucária,Campina da Barra ,Feminino,Pagode,Nos Finais de Semana,Sim,Sim,1x por semana,28,50,Tanto Faz,Não,Não,Equilíbrio material/espiritual,2025-04-01 00:42:38
97,27,GO,Anápolis,Jundiaí ,Feminino,Pop,Não Bebo,Não,Não,Não gosto,27,37,Sim,Tanto Faz,Sim,Equilíbrio material/espiritual,2025-04-01 00:45:26
98,35,GO,Goiânia,Parque Amazônia ,Feminino,Pagode,Bebo Socialmente,Sim,Sim,Diariamente,30,42,Não,Não,Não,Experiências e viagens,2025-04-01 00:45:38
99,46,SP,Santos,Embaré ,Feminino,Pop,Bebo Socialmente,Sim,Sim,Diariamente,42,51,Não,Não,Não,Equilíbrio material/espiritual,2025-04-01 00:46:10
100,46,SP,São Paulo,Jaguaré ,Feminino,Pop,Bebo Socialmente,Sim,Sim,Diariamente,40,51,Não,Não,Não,Riqueza espiritual,2025-04-01 00:49:57
101,39,MG,Juiz de Fora,Centro ,Feminino,Rock,Bebo Socialmente,Não,Não,3x por semana,35,45,Tanto Faz,Não,Não,Equilíbrio material/espiritual,2025-04-01 00:50:34
102,26,GO,Goiânia,Jardim Balneário ,Feminino,Sertanejo,Bebo Socialmente,Não,Não,Diariamente,28,38,Sim,Não,Não,Vida simples com família,2025-04-01 00:51:18
103,38,RJ,Rio de Janeiro,Méier,Feminino,Samba,Não Bebo,Não,Não,Diariamente,37,45,Tanto Faz,Tanto Faz,Não,Equilíbrio material/espiritual,2025-04-01 00:51:28
104,31,BA,Salvador,Graça,Feminino,Rock,Bebo Socialmente,Não,Não,Diariamente,30,43,Tanto Faz,Tanto Faz,Tanto Faz,Equilíbrio material/espiritual,2025-04-01 00:52:36
105,33,RS,Gravataí,Centro,Masculino,Rock,Bebo Socialmente,Não,Não,1x por semana,25,40,Tanto Faz,Tanto Faz,Tanto Faz,Riqueza espiritual,2025-04-01 00:53:01
106,33,GO,Goiânia,Negrão de Lima ,Feminino,MPB,Não Bebo,Sim,Sim,Diariamente,33,45,Não,Tanto Faz,Tanto Faz,Vida simples com família,2025-04-01 00:53:10
107,32,DF,Brasília,Samambaia ,Feminino,MPB,Não Bebo,Não,Não,3x por semana,31,36,Sim,Não,Sim,Vida simples com família,2025-04-01 00:53:24
108,33,RS,Santa Cruz do Sul,Centro ,Feminino,MPB,Bebo Socialmente,Não,Não,Diariamente,30,40,Não,Não,Não,Vida simples com família,2025-04-01 00:53:48
109,23,RJ,Rio de Janeiro,Meier ,Feminino,Pop,Não Bebo,Não,Não,1x por semana,23,30,Tanto Faz,Tanto Faz,Tanto Faz,Equilíbrio material/espiritual,2025-04-01 00:54:21
110,35,RJ,Araruama,Praia seca ,Feminino,Sertanejo,Não Bebo,Não,Não,3x por semana,30,45,Tanto Faz,Não,Não,Equilíbrio material/espiritual,2025-04-01 00:55:18
111,39,SP,São Paulo,Grajaú ,Feminino,MPB,Não Bebo,Sim,Sim,1x por semana,40,50,Não,Sim,Não,Vida simples com família,2025-04-01 00:56:50
112,47,GO,Goiânia,Jardim Goiás ,Feminino,Rock,Não Bebo,Sim,Sim,3x por semana,40,57,Tanto Faz,Tanto Faz,Tanto Faz,Equilíbrio material/espiritual,2025-04-01 00:58:32
113,33,GO,Goiânia,JD. América,Feminino,Rock,Bebo Socialmente,Não,Não,Diariamente,25,53,Tanto Faz,Tanto Faz,Tanto Faz,Riqueza espiritual,2025-04-01 00:59:04
114,36,PR,Curitiba,CIC ,Feminino,Rock,Não Bebo,Não,Não,1x por semana,30,45,Tanto Faz,Sim,Tanto Faz,Equilíbrio material/espiritual,2025-04-01 00:59:43
115,43,DF,Brasília,Ceilândia ,Feminino,MPB,Bebo Socialmente,Sim,Sim,3x por semana,35,50,Não,Tanto Faz,Não,Equilíbrio material/espiritual,2025-04-01 01:00:00
116,46,PA,Belém,Parque ,Feminino,Pop,Não Bebo,Sim,Sim,1x por semana,40,50,Não,Não,Não,Equilíbrio material/espiritual,2025-04-01 01:01:17
117,35,GO,Goiânia,Jardim Atlântico ,Feminino,Rock,Nos Finais de Semana,Sim,Não,Diariamente,29,42,Tanto Faz,Tanto Faz,Tanto Faz,Experiências e viagens,2025-04-01 01:01:43
118,28,RS,Novo Hamburgo,Vila Rosa ,Feminino,Pagode,Nos Finais de Semana,Não,Não,Diariamente,28,34,Tanto Faz,Sim,Tanto Faz,Equilíbrio material/espiritual,2025-04-01 01:02:47
119,56,GO,Goiânia,Parque Amazonas ,Feminino,Rock,Não Bebo,Sim,Sim,3x por semana,18,56,Não,Não,Não,Equilíbrio material/espiritual,2025-04-01 01:03:10
120,38,GO,Goiânia,Parque Atheneu ,Feminino,Pagode,Bebo Socialmente,Não,Sim,1x por semana,30,47,Tanto Faz,Não,Não,Vida simples com família,2025-04-01 01:03:29
121,31,PE,Cabo de Santo Agostinho,Pontezinha ,Feminino,Rock,Não Bebo,Não,Sim,Diariamente,26,40,Não,Sim,Não,Vida simples com família,2025-04-01 01:03:30
122,24,RS,Porto Alegre,Protásio Alves,Feminino,Sertanejo,Bebo Socialmente,Não,Não,Diariamente,20,35,Não,Não,Não,Experiências e viagens,2025-04-01 01:03:56
123,37,GO,Goiânia,Oeste ,Feminino,MPB,Não Bebo,Não,Não,Diariamente,33,50,Não,Tanto Faz,Tanto Faz,Equilíbrio material/espiritual,2025-04-01 01:04:08
124,32,PB,João Pessoa,Jardim Oceania,Feminino,Pagode,Bebo Socialmente,Não,Não,3x por semana,27,42,Tanto Faz,Não,Não,Experiências e viagens,2025-04-01 01:05:08
125,39,PR,Maringá,Centro,Feminino,Sertanejo,Não Bebo,Não,Não,Diariamente,36,41,Sim,Sim,Não,Equilíbrio material/espiritual,2025-04-01 01:05:42
126,28,GO,Goiânia,Jardim,Feminino,MPB,Bebo Socialmente,Não,Não,Diariamente,25,50,Não,Não,Não,Equilíbrio material/espiritual,2025-04-01 01:08:43
127,61,GO,Goiânia,Alto da Glória ,Feminino,Rock,Bebo Socialmente,Sim,Sim,Diariamente,59,60,Não,Não,Não,Vida simples com família,2025-04-01 01:09:33
128,25,PR,Curitiba,Hauer,Feminino,Pagode,Bebo Socialmente,Não,Sim,Diariamente,24,37,Tanto Faz,Não,Não,Experiências e viagens,2025-04-01 01:12:17
129,45,GO,Alexânia,Centro ,Feminino,Pop,Não Bebo,Sim,Sim,3x por semana,37,56,Não,Tanto Faz,Não,Equilíbrio material/espiritual,2025-04-01 01:13:13
130,30,GO,Goiânia,Setor Pedro Ludovico ,Feminino,Pop,Bebo Socialmente,Não,Sim,Diariamente,25,45,Não,Não,Não,Riqueza espiritual,2025-04-01 01:13:37
131,38,GO,Goiânia,Jardim presidente ,Feminino,Pagode,Nos Finais de Semana,Sim,Sim,Diariamente,30,55,Não,Não,Não,Riqueza espiritual,2025-04-01 01:15:40
132,44,GO,Mineiros,Residencial Versailles ,Feminino,Rock,Bebo Socialmente,Sim,Sim,3x por semana,35,47,Tanto Faz,Tanto Faz,Tanto Faz,Experiências e viagens,2025-04-01 01:17:34
133,37,GO,Goiânia,Pq amazônia ,Feminino,Pop,Não Bebo,Sim,Sim,Diariamente,30,45,Tanto Faz,Tanto Faz,Não,Equilíbrio material/espiritual,2025-04-01 01:17:46
134,37,GO,Goiânia,St Universitário ,Feminino,Sertanejo,Nos Finais de Semana,Não,Sim,1x por semana,34,50,Tanto Faz,Tanto Faz,Tanto Faz,Equilíbrio material/espiritual,2025-04-01 01:19:58
135,40,GO,Goiânia,Negrão de Lima ,Feminino,Sertanejo,Não Bebo,Sim,Sim,3x por semana,38,50,Não,Não,Não,Riqueza espiritual,2025-04-01 01:20:07
136,40,SP,São Paulo,Perus,Feminino,Rock,Bebo Socialmente,Não,Não,3x por semana,30,46,Não,Não,Não,Equilíbrio material/espiritual,2025-04-01 01:20:31
137,30,GO,Goiânia,Centro,Feminino,Rock,Não Bebo,Não,Sim,Diariamente,29,39,Tanto Faz,Tanto Faz,Não,Vida simples com família,2025-04-01 01:21:23
138,31,MT,Sinop,Parque das araras ,Feminino,MPB,Nos Finais de Semana,Não,Não,Não gosto,25,45,Não,Não,Não,Experiências e viagens,2025-04-01 01:21:51
139,50,SP,Guarulhos,Vila Augusta,Feminino,Rock,Bebo Socialmente,Sim,Sim,Diariamente,45,54,Não,Não,Não,Equilíbrio material/espiritual,2025-04-01 01:22:29
140,39,PB,João Pessoa,Bancários ,Feminino,Rock,Bebo Socialmente,Não,Não,Diariamente,30,45,Tanto Faz,Tanto Faz,Tanto Faz,Vida simples com família,2025-04-01 01:22:30
141,30,GO,Goiânia,Aeroporto ,Feminino,Rock,Bebo Socialmente,Não,Não,3x por semana,29,40,Não,Tanto Faz,Tanto Faz,Vida simples com família,2025-04-01 01:22:58
142,45,GO,Goiânia,Condomínio Anhanguera ,Feminino,Sertanejo,Nos Finais de Semana,Sim,Sim,Diariamente,20,52,Não,Não,Não,Vida simples com família,2025-04-01 01:25:29
143,37,GO,Goiânia,Maria Dilce,Feminino,Pagode,Não Bebo,Não,Sim,3x por semana,30,45,Tanto Faz,Não,Não,Vida simples com família,2025-04-01 01:27:23
144,37,RJ,Rio de Janeiro,Anil ,Feminino,Rock,Nos Finais de Semana,Sim,Sim,3x por semana,33,52,Não,Não,Não,Experiências e viagens,2025-04-01 01:30:02
145,42,GO,Goiânia,Feliz,Feminino,Rock,Não Bebo,Sim,Sim,Diariamente,35,50,Sim,Sim,Sim,Vida simples com família,2025-04-01 01:30:34
146,25,GO,Goiânia,Coimbra,Feminino,Sertanejo,Bebo Socialmente,Não,Não,1x por semana,25,35,Tanto Faz,Não,Tanto Faz,Vida glamourosa,2025-04-01 01:34:50
147,50,GO,Goiânia,ST OESTE ,Feminino,Rock,Não Bebo,Sim,Sim,Diariamente,43,55,Não,Tanto Faz,Não,Equilíbrio material/espiritual,2025-04-01 01:37:13
148,46,SC,Siderópolis,Centro ,Feminino,Pop,Nos Finais de Semana,Sim,Sim,3x por semana,40,50,Não,Não,Não,Vida simples com família,2025-04-01 01:37:51
